City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,24.22,78,75,3.6,PT,1691261026
1,bardai,11.65,7.2333,23.03,87,100,3.09,NG,1691261375
2,bel ombre,-4.6167,55.4167,25.91,83,40,6.69,SC,1691261419
3,puerto natales,-51.7236,-72.4875,5.39,86,100,10.16,CL,1691261017
4,bredasdorp,-34.5322,20.0403,9.86,92,100,1.53,ZA,1691261046
5,blackmans bay,-43.0167,147.3167,8.62,86,93,2.79,AU,1691261021
6,kodiak,57.79,-152.4072,11.73,94,100,2.57,US,1691261032
7,grytviken,-54.2811,-36.5092,-5.25,83,100,5.3,GS,1691261017
8,mandal,25.45,74.5667,26.44,78,100,4.17,IN,1691261419
9,waitangi,-43.9535,-176.5597,9.03,59,100,14.91,NZ,1691261015
10,iqaluit,63.7506,-68.5145,10.85,76,20,2.57,CA,1691261017
11,stanley,54.868,-1.6985,12.93,84,20,5.14,GB,1691261016
12,guerrero negro,27.9769,-114.0611,26.52,50,8,4.92,MX,1691260978
13,bethel,41.3712,-73.414,29.19,59,0,4.63,US,1691261019
14,atafu village,-8.5421,-172.5159,27.96,77,20,5.45,TK,1691261039
15,dudinka,69.4058,86.1778,13.68,61,1,2.49,RU,1691261055
16,taoudenni,22.6783,-3.9836,44.97,6,20,2.94,ML,1691261186
17,punta arenas,-53.15,-70.9167,4.83,91,100,13.05,CL,1691260831
18,carutapera,-1.195,-46.02,29.23,68,56,4.56,BR,1691261169
19,aibak,36.2647,68.0155,26.16,18,0,3.26,AF,1691261420
20,adamstown,-25.066,-130.1015,19.13,63,9,6.32,PN,1691261016
21,olonkinbyen,70.9221,-8.7187,3.92,92,100,10.05,SJ,1691261078
22,road town,18.4167,-64.6167,33.05,62,40,6.69,VG,1691261116
23,edinburgh of the seven seas,-37.0676,-12.3116,13.45,80,8,16.55,SH,1691261015
24,blitar,-8.0983,112.1681,22.19,84,74,1.82,ID,1691261420
25,homer,59.6425,-151.5483,17.24,77,20,1.54,US,1691260949
26,udachny,66.4167,112.4,10.25,75,98,4.69,RU,1691261100
27,hawaiian paradise park,19.5933,-154.9731,25.5,80,75,2.06,US,1691261018
28,albany,42.6001,-73.9662,26.64,59,100,3.78,US,1691261027
29,masindi port,1.6961,32.0861,18.81,89,25,1.02,UG,1691261421
30,longyearbyen,78.2186,15.6401,10.91,87,75,4.63,SJ,1691261018
31,san antonio de pale,-1.4014,5.6325,22.8,76,44,4.7,GQ,1691261173
32,sault ste. marie,46.5168,-84.3333,24.31,43,0,2.06,CA,1691261303
33,gizo,-8.103,156.8419,25.77,78,100,8.78,SB,1691261174
34,mwinilunga,-11.7358,24.4293,15.67,40,0,2.32,ZM,1691261349
35,whitehorse,60.7161,-135.0538,20.43,42,75,6.17,CA,1691261029
36,puerto colombia,10.9878,-74.9547,34.05,71,30,8.89,CO,1691261020
37,port-aux-francais,-49.35,70.2167,2.42,72,97,13.98,TF,1691261019
38,codrington,-38.2667,141.9667,8.37,81,33,1.64,AU,1691261076
39,college,64.8569,-147.8028,22.89,64,40,1.54,US,1691261018
40,san fernando de monte cristi,19.8667,-71.65,31.09,68,24,5.98,DO,1691261421
41,fisterra,42.9049,-9.2629,24.3,88,26,8.78,ES,1691261327
42,wenling,28.3669,121.36,26.34,89,10,2.26,CN,1691261188
43,sinabang,2.4803,96.3801,26.88,85,100,1.88,ID,1691261085
44,constantia,44.1833,28.65,24.38,84,0,4.44,RO,1691261066
45,mount gambier,-37.8333,140.7667,6.98,89,90,0.9,AU,1691261422
46,avarua,-21.2078,-159.775,22.03,78,100,3.6,CK,1691261024
47,thompson,55.7435,-97.8558,18.09,82,75,5.66,CA,1691260936
48,vorgashor,67.5833,63.95,17.85,54,0,2.28,RU,1691261082
49,saipan,15.1355,145.701,28.39,100,0,1.54,MP,1691261048
50,cherdyn',60.403,56.4787,17.13,95,100,1.83,RU,1691261422
51,utrik,11.2278,169.8474,27.92,68,96,7.57,MH,1691261025
52,kontagora,10.3999,5.4695,23.51,93,81,1.16,NG,1691261422
53,kosonsoy,41.2561,71.5508,26.31,24,0,3.82,UZ,1691261422
54,hamilton,39.1834,-84.5333,30.33,63,0,4.12,US,1691261062
55,callao,-12.0667,-77.15,23.16,60,20,5.14,PE,1691261196
56,namibe,-15.1961,12.1522,18.39,85,0,1.65,AO,1691261113
57,mumbwa,-14.9783,27.0619,16.37,47,0,3.6,ZM,1691261423
58,tazovsky,67.4667,78.7,14.21,57,6,2.6,RU,1691261036
59,acarau,-2.8856,-40.12,29.52,61,63,8.87,BR,1691260911
60,roswell,34.0232,-84.3616,34.71,58,40,1.54,US,1691261423
61,alvaraes,-3.2208,-64.8042,31.93,42,94,0.61,BR,1691261423
62,uturoa,-16.7333,-151.4333,25.78,73,5,3.54,PF,1691261084
63,minas de marcona,-15.2119,-75.1103,17.78,58,7,3.92,PE,1691261320
64,port mathurin,-19.6833,63.4167,22.87,74,56,11.72,MU,1691261047
65,invercargill,-46.4,168.35,6.68,87,100,1.79,NZ,1691261016
66,tomakomai,42.6369,141.6033,22.87,94,75,5.14,JP,1691261376
67,bikenibeu village,1.3673,173.1241,27.98,78,75,2.06,KI,1691261424
68,tiksi,71.6872,128.8694,1.71,83,97,3.47,RU,1691261073
69,klyuchi,52.2667,79.1667,19.4,68,89,1.81,RU,1691261047
70,sisimiut,66.9395,-53.6735,7.86,73,16,3.47,GL,1691261424
71,san rafael,-34.6177,-68.3301,22.53,22,0,5.85,AR,1691261424
72,aykhal,66.0,111.5,10.4,66,24,7.12,RU,1691261072
73,ames,42.0347,-93.6199,28.5,66,75,5.66,US,1691261424
74,andovoranto,-18.95,49.1,20.06,88,91,3.81,MG,1691261424
75,ust-nera,64.5667,143.2,12.99,68,100,2.26,RU,1691261021
76,whakatane,-37.9585,176.9854,2.65,96,4,2.7,NZ,1691261220
77,mili,6.0815,171.735,27.87,79,71,4.98,MH,1691261104
