City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,4.4,93,100,11.76,CL,1691253586
1,waitangi,-43.9535,-176.5597,6.01,83,98,2.24,NZ,1691253647
2,port mathurin,-19.6833,63.4167,22.61,76,40,10.87,MU,1691253650
3,grytviken,-54.2811,-36.5092,-4.45,82,87,5.24,GS,1691253647
4,klyuchi,52.2667,79.1667,20.39,71,90,1.04,RU,1691254115
5,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,75,2.0,RU,1691254115
6,san pedro pochutla,15.7333,-96.4667,32.62,55,91,2.28,MX,1691254115
7,vanino,49.0869,140.2543,12.9,86,100,1.14,RU,1691253963
8,ciudad bolivar,8.1222,-63.5497,34.76,43,13,3.56,VE,1691254115
9,palmer,42.1584,-72.3287,27.83,54,20,3.6,US,1691254115
10,tsiombe,-25.3,45.4833,19.69,61,0,7.55,MG,1691254115
11,margaret river,-33.95,115.0667,8.82,82,100,1.75,AU,1691254115
12,dipayal,29.2608,80.94,25.69,98,97,0.66,NP,1691254115
13,tralee,52.2704,-9.7026,15.14,88,75,4.12,IE,1691253954
14,thompson,55.7435,-97.8558,18.09,82,100,3.6,CA,1691254116
15,mapastepec,15.4333,-92.9,32.8,55,99,1.84,MX,1691254116
16,betio village,1.358,172.9211,28.02,76,6,5.29,KI,1691254116
17,sierra grande,-41.606,-65.3557,14.54,22,100,9.31,AR,1691254116
18,stanley,54.868,-1.6985,13.2,85,40,5.66,GB,1691254116
19,port-aux-francais,-49.35,70.2167,2.32,72,100,14.43,TF,1691254116
20,college,64.8569,-147.8028,22.34,78,40,1.54,US,1691254116
21,rayevskiy,54.0658,54.9468,23.87,55,62,1.15,RU,1691254116
22,talnakh,69.4865,88.3972,17.34,52,7,1.04,RU,1691254116
23,fortuna,40.5982,-124.1573,19.4,88,20,0.45,US,1691254116
24,lompoc,34.6391,-120.4579,26.58,86,100,9.83,US,1691254116
25,lautoka,-17.6167,177.4667,20.92,94,100,0.0,FJ,1691254117
26,karratha,-20.7377,116.8463,23.31,46,5,3.52,AU,1691254117
27,ust-nera,64.5667,143.2,12.28,57,88,1.36,RU,1691254117
28,albany,42.6001,-73.9662,26.21,64,9,0.89,US,1691254117
